"SYMBOL","CLOSE_PRICE","AVG_PRICE","TTL_TRD_QNTY","DELIV_PER","DELIV_LACS","DATE"
"HDFCBANK","1414.45","1398.07","11236850","50.9","79970","20210503"
"RELIANCE","1959.05","1958.46","10909942","34.84","74433","20210503"
"BAJFINANCE","5551.15","5450.95","4033591","21.79","47900","20210503"
"TATASTEEL","1064.75","1047.74","26484100","16.59","46031","20210503"
"INFY","1352.05","1350.88","4560337","60.28","37133","20210503"
"HDFC","2418.5","2401.4","2984938","48.15","34516","20210503"
"HCLTECH","907.7","903.47","6871176","53.96","33498","20210503"
"ICICIBANK","596.75","592.4","18010557","28.63","30548","20210503"
"BHARTIARTL","558.85","547.44","14288088","37.47","29306","20210503"
"SAIL","127.75","124.97","170916244","12.55","26807","20210503"
"KOTAKBANK","1725.45","1721.78","5593869","27.79","26766","20210503"
"AUBANK","924.05","929.14","6959261","38.47","24872","20210503"
"TITAN","1423.95","1433.79","3945733","40.59","22961","20210503"
"ITC","200.95","200.87","20611626","53.81","22276","20210503"
"INDUSINDBK","913.6","927.01","16854199","14.08","22004","20210503"
"SBIN","350.6","347.45","43691860","13.68","20769","20210503"
"TCS","3037.0","3035.65","1545831","41.16","19314","20210503"
"AXISBANK","702.75","700.77","13752878","16.68","16072","20210503"
"BHEL","53.5","51.24","133520586","21.59","14773","20210503"
"TATASTLBSL","86.35","81.59","55062358","32.51","14606","20210503"
"MARUTI","6597.85","6568.74","834923","19.43","10657","20210503"
"ULTRACEMCO","6350.15","6275.8","402055","42.0","10596","20210503"
"YESBANK","13.9","13.72","248997751","30.22","10324","20210503"
"NATIONALUM","67.65","66.92","59516858","25.3","10075","20210503"
"APOLLOHOSP","3204.3","3178.72","728281","40.54","9384","20210503"
"BAJAJFINSV","11041.7","10958.61","396931","15.43","6709","20210503"
"M&M","752.95","754.76","3749870","19.31","5464","20210503"
"MOTHERSUMI","215.7","216.55","8713281","25.36","4784","20210503"
"PNB","34.5","34.35","105720320","12.97","4708","20210503"
"IDFCFIRSTB","54.0","53.8","32646264","24.82","4358","20210503"
"JKCEMENT","2784.25","2796.07","140057","93.88","3676","20210503"
"IDEA","8.45","8.39","88911009","39.35","2935","20210503"
"RPOWER","5.3","5.07","97302674","44.98","2219","20210503"
"LALPATHLAB","2928.7","2929.25","227292","29.16","1941","20210503"
"DMART","2898.65","2884.82","232238","28.07","1880","20210503"
"TRENT","783.05","775.71","841965","27.15","1773","20210503"
"BATAINDIA","1348.1","1348.16","266065","29.14","1045","20210503"
"RELAXO","878.4","872.31","181064","65.93","1041","20210503"
"MUTHOOTFIN","1159.7","1152.55","424881","16.68","816","20210503"
"RCOM","1.75","1.7","66278654","49.45","557","20210503"
"TATASTLLP","940.45","940.45","36892","100.0","346","20210503"
"AHLUCONT","283.75","284.01","114601","96.13","312","20210503"
"JSWISPL","48.1","48.1","606280","100.0","291","20210503"
"METROPOLIS","2385.7","2404.3","24826","31.48","187","20210503"
"NCPSESDL24","104.16","104.25","145111","99.18","150","20210503"
"HONDAPOWER","999.95","998.83","14294","92.39","131","20210503"
"NH","410.25","410.33","55281","52.73","119","20210503"
"EBBETF0430","1150.59","1149.13","9469","96.02","104","20210503"
"MMP","89.6","88.73","114062","96.31","97","20210503"
"MAN50ETF","149.5","149.49","66903","97.19","97","20210503"
"RELIANCE","1916.6","1935.83","10083693","43.98","85855","20210504"
"HDFCBANK","1388.35","1403.8","10743164","41.47","62537","20210504"
"TATASTEEL","1063.85","1072.68","24961628","20.21","54120","20210504"
"BAJFINANCE","5615.75","5670.74","4838347","18.87","51768","20210504"
"ADANIPORTS","768.75","771.89","31400296","19.87","48166","20210504"
"HDFC","2377.2","2401.21","3135834","54.67","41168","20210504"
"INFY","1329.4","1339.98","4887060","58.47","38291","20210504"
"HCLTECH","900.95","907.88","6217026","65.34","36880","20210504"
"VEDL","258.55","257.76","30234483","45.9","35773","20210504"
"SAIL","128.0","131.33","195246744","13.49","34584","20210504"
"KOTAKBANK","1732.65","1745.27","4255151","44.64","33154","20210504"
"TATACHEM","708.55","725.95","23262075","19.21","32440","20210504"
"SBILIFE","982.9","980.77","10515809","27.17","28023","20210504"
"TCS","3049.75","3061.2","1990777","45.83","27931","20210504"
"SBIN","351.5","357.53","57749307","13.42","27715","20210504"
"BHARTIARTL","552.45","557.72","13934607","34.6","26888","20210504"
"TECHM","960.4","961.83","4064221","63.27","24731","20210504"
"ICICIBANK","591.55","600.27","15115127","24.67","22380","20210504"
"AXISBANK","700.35","710.29","11980155","25.14","21395","20210504"
"PNB","37.45","37.38","426069700","10.64","16944","20210504"
"BHEL","52.55","54.35","154123432","15.88","13301","20210504"
"BANKBARODA","70.4","70.71","117824041","15.79","13156","20210504"
"BAJAJFINSV","10986.45","11038.97","522101","21.33","12295","20210504"
"M&M","741.15","744.42","3820769","39.09","11118","20210504"
"IDFCFIRSTB","55.75","56.31","64253913","24.39","8825","20210504"
"MARUTI","6508.25","6544.51","507170","24.26","8052","20210504"
"APOLLOHOSP","3181.25","3193.96","581864","37.94","7050","20210504"
"MOTHERSUMI","216.8","220.4","12261807","22.65","6120","20210504"
"ULTRACEMCO","6296.45","6355.78","330346","26.57","5578","20210504"
"YESBANK","13.85","14.0","104431586","36.74","5372","20210504"
"DISHTV","11.85","11.5","106331581","31.11","3803","20210504"
"IDEA","8.25","8.37","130270445","33.49","3651","20210504"
"BAJAJHIND","8.75","9.25","95822610","39.94","3540","20210504"
"RPOWER","5.05","5.27","98395108","56.75","2942","20210504"
"LALPATHLAB","2855.55","2893.92","237690","37.08","2550","20210504"
"IIFL","252.0","253.27","1088075","90.27","2487","20210504"
"DMART","2858.4","2887.23","239282","34.99","2417","20210504"
"TRENT","776.8","781.21","651087","43.15","2194","20210504"
"BATAINDIA","1357.3","1357.02","462920","25.6","1608","20210504"
"MUTHOOTFIN","1149.2","1162.56","443495","29.1","1500","20210504"
"QUESS","620.05","620.85","252432","89.25","1398","20210504"
"JKCEMENT","2788.55","2772.27","63664","73.82","1302","20210504"
"CHOLAHLDNG","570.25","570.4","252195","90.33","1299","20210504"
"METROPOLIS","2266.5","2324.42","50674","51.42","605","20210504"
"RELAXO","889.65","894.87","196103","28.37","497","20210504"
"TATASTLLP","987.45","987.45","42486","100.0","419","20210504"
"EBBETF0423","1124.01","1124.07","30579","98.73","339","20210504"
"EBBETF0425","1037.69","1037.99","27334","99.49","282","20210504"
"IRISDOREME","106.15","103.37","249745","91.32","235","20210504"
"NH","397.65","404.24","102724","52.05","216","20210504"
"AGCNET","1609.65","1618.26","11069","93.12","166","20210504"
"AHLUCONT","281.25","285.69","53472","93.03","142","20210504"
"VEDL","264.3","263.66","83074283","54.54","119470","20210505"
"HDFC","2377.6","2376.82","3458463","56.71","46614","20210505"
"BAJFINANCE","5515.15","5545.16","4378693","16.85","40922","20210505"
"HDFCBANK","1402.6","1400.18","7210806","40.16","40544","20210505"
"LUPIN","1200.5","1162.89","26466899","11.93","36728","20210505"
"ADANIPORTS","738.1","744.59","29426971","15.81","34636","20210505"
"RELIANCE","1920.1","1923.26","5719649","30.81","33895","20210505"
"SUNPHARMA","683.4","673.39","25296369","18.93","32238","20210505"
"TCS","3095.7","3083.22","1939289","51.74","30937","20210505"
"INFY","1341.5","1337.33","3939788","53.76","28325","20210505"
"TATASTEEL","1070.15","1067.25","19249839","13.63","27994","20210505"
"ICICIBANK","602.8","596.84","17253943","24.79","25528","20210505"
"CIPLA","888.65","886.82","10491085","27.03","25150","20210505"
"CADILAHC","601.7","594.8","23454643","17.65","24622","20210505"
"BHARTIARTL","559.95","560.72","11872729","34.15","22734","20210505"
"BHEL","56.75","55.37","167171542","24.21","22404","20210505"
"WIPRO","490.6","490.81","11856591","36.22","21079","20210505"
"SAIL","130.3","130.03","104823675","13.21","18000","20210505"
"APOLLOHOSP","3332.9","3292.52","1679977","28.73","15890","20210505"
"KOTAKBANK","1770.75","1759.05","2411643","33.48","14202","20210505"
"SBIN","355.4","354.45","40872501","9.0","13034","20210505"
"AXISBANK","717.2","711.1","11155033","15.93","12637","20210505"
"BANKBARODA","72.35","71.98","66540783","25.97","12437","20210505"
"ONGC","111.1","111.92","47588366","20.61","10978","20210505"
"PNB","37.45","37.66","178293892","15.93","10696","20210505"
"M&M","747.55","743.76","3102424","40.46","9337","20210505"
"MARUTI","6590.1","6551.0","499160","23.59","7712","20210505"
"LIQUIDBEES","1000.0","1000.0","797992","94.89","7571","20210505"
"MOTHERSUMI","219.65","218.03","13492021","24.76","7282","20210505"
"IDBI","37.95","38.5","76189681","22.93","6725","20210505"
"BAJAJFINSV","11114.45","11022.93","307750","15.29","5187","20210505"
"LALPATHLAB","2836.05","2855.38","484640","36.36","5031","20210505"
"TRENT","796.05","792.28","1229552","45.0","4384","20210505"
"IDFCFIRSTB","56.2","56.3","29480874","22.4","3717","20210505"
"ULTRACEMCO","6380.35","6344.07","215973","24.24","3320","20210505"
"VTL","1265.75","1207.97","279755","90.14","3046","20210505"
"YESBANK","13.85","13.89","55591203","38.71","2988","20210505"
"IDEA","8.35","8.36","81857103","36.84","2520","20210505"
"SUNCLAYLTD","3100.0","3101.36","57051","93.16","1648","20210505"
"BATAINDIA","1359.8","1360.86","323774","36.03","1587","20210505"
"DMART","2874.4","2869.0","136956","35.55","1397","20210505"
"ICICITECH","258.66","258.4","515624","97.83","1303","20210505"
"MUTHOOTFIN","1150.75","1153.01","427270","24.79","1221","20210505"
"NH","409.1","405.91","434279","42.79","754","20210505"
"MAGMA","128.65","128.65","459678","100.0","591","20210505"
"SHAREINDIA","388.8","382.7","144857","92.19","511","20210505"
"METROPOLIS","2322.55","2314.15","72502","26.74","448","20210505"
"RELAXO","897.9","897.41","126634","32.94","374","20210505"
"ICICILIQ","999.99","1000.0","34655","97.82","339","20210505"
"JKCEMENT","2775.15","2775.01","15632","77.83","337","20210505"
"EBBETF0430","1149.88","1149.51","17482","91.65","184","20210505"
"SAFARI","602.55","609.08","24308","91.69","135","20210505"
"RELIANCE","1931.0","1920.95","6749281","41.94","54378","20210506"
"TATASTEEL","1100.9","1103.47","46434537","8.87","45434","20210506"
"ICICIBANK","608.2","605.35","16949763","42.69","43805","20210506"
"HDFCBANK","1400.9","1403.34","5738522","44.89","36153","20210506"
"INFY","1361.6","1354.33","4810090","51.11","33295","20210506"
"BANDHANBNK","294.75","300.85","23749358","45.01","32162","20210506"
"HCLTECH","916.0","911.9","6319104","50.6","29159","20210506"
"HDFC","2430.1","2416.49","2401866","50.12","29088","20210506"
"CIPLA","884.3","897.07","17973153","17.44","28124","20210506"
"TCS","3111.45","3107.27","1791671","46.39","25825","20210506"
"TATAMOTORS","301.25","297.01","45032502","18.39","24591","20210506"
"WIPRO","512.3","506.32","24413544","19.62","24251","20210506"
"TECHM","977.95","971.26","4620827","52.93","23753","20210506"
"HINDALCO","385.95","379.35","31912131","19.29","23356","20210506"
"SAIL","133.65","132.32","97680986","17.39","22473","20210506"
"HINDUNILVR","2390.0","2388.64","1377740","62.41","20537","20210506"
"KOTAKBANK","1788.25","1780.75","2380255","47.72","20225","20210506"
"AXISBANK","715.75","715.21","9484934","28.65","19434","20210506"
"SBIN","355.55","354.51","36294427","14.8","19047","20210506"
"BHEL","58.05","58.15","195095327","14.94","16945","20210506"
"M&M","747.4","750.02","3662506","53.83","14787","20210506"
"BAJFINANCE","5528.8","5538.38","2223111","11.27","13873","20210506"
"IDBI","40.55","41.2","119271336","26.61","13075","20210506"
"MARUTI","6666.65","6664.2","520125","36.58","12678","20210506"
"APOLLOHOSP","3347.15","3346.81","1124908","29.71","11185","20210506"
"SUBEXLTD","60.3","58.36","63207319","25.67","9470","20210506"
"YESBANK","13.55","13.59","122661349","45.27","7547","20210506"
"MOTHERSUMI","222.15","220.85","18605949","17.69","7270","20210506"
"PNB","36.4","36.67","114302420","16.57","6946","20210506"
"TIINDIA","1218.0","1220.18","496342","96.8","5862","20210506"
"ULTRACEMCO","6405.45","6380.56","246632","32.77","5157","20210506"
"BAJAJFINSV","11027.95","11066.95","228840","19.24","4872","20210506"
"IDFCFIRSTB","56.85","56.41","24639694","28.43","3952","20210506"
"RPOWER","5.5","5.3","138623193","47.24","3470","20210506"
"LALPATHLAB","2841.45","2846.13","251678","42.32","3031","20210506"
"MUTHOOTFIN","1170.15","1159.17","590519","36.62","2506","20210506"
"RITES","239.35","238.07","1057193","94.51","2378","20210506"
